rank,Youtuber,category,Country,created_year,created_month,created_date
278,Juan De Dios Pantoja,Entertainment,Mexico,2014.0,Jun,9.0
279,Logan Paul,Entertainment,United States,2015.0,Aug,29.0
280,Maya and Mary,Entertainment,United States,2013.0,Aug,30.0
281,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Film & Animation,United Kingdom,2014.0,Jul,28.0
282,Jelly,Gaming,United Kingdom,2014.0,May,27.0
283,Miss Katy,People & Blogs,United Kingdom,2014.0,Nov,17.0
284,Tilak,Film & Animation,India,2020.0,Oct,10.0
285,Valentina Pontes ofc,Film & Animation,Brazil,2014.0,Apr,14.0
286,Sesame Street,Entertainment,United States,2006.0,Jan,16.0
287,Happy Lives,Science & Technology,United States,2016.0,Mar,15.0
288,Lady Gaga,People & Blogs,United States,2008.0,May,15.0
289,Akshay Nagwadiya,Entertainment,,2017.0,Oct,25.0
290,Wave Music Bhojpuri,Music,India,2014.0,Aug,10.0
291,GMM GRAMMY OFFICIAL,Music,Thailand,2010.0,Nov,8.0
292,TED,People & Blogs,United States,2006.0,Dec,6.0
293,unknown boy varun,Music,India,2016.0,Sep,27.0
294,Kids TV - Nursery Rhymes And Baby Songs,Shows,United States,2013.0,Aug,30.0
295,Tsuriki Show,Entertainment,Germany,2019.0,Jul,10.0
296,Technical Guruji,Science & Technology,India,2015.0,Oct,19.0
297,DrossRotzank,Entertainment,Argentina,2006.0,Mar,9.0
298,White Hill Music,Entertainment,India,2014.0,Mar,23.0
299,Ultra Movie Parlour,Movies,India,2011.0,May,17.0
300,Alan Becker,Film & Animation,United States,2006.0,Mar,21.0
301,toyorbabytv,Music,Jordan,2012.0,Nov,1.0
302,BabyBus - Canciones Infantiles & Videos para Niï¿½ï,Education,Mexico,2018.0,Mar,19.0
303,KL BRO Biju Rithvik,Entertainment,,2020.0,Jul,21.0
304,Vania Mania Kids,People & Blogs,United States,2015.0,Sep,9.0
305,Like Nastya PRT,Entertainment,,2019.0,Apr,9.0
306,Sun TV,People & Blogs,India,2016.0,Feb,26.0
307,Heroindori,Comedy,India,2020.0,Jun,29.0
308,The Chainsmokers,Music,United States,2012.0,Sep,22.0
309,mmoshaya,People & Blogs,Saudi Arabia,2010.0,Dec,11.0
310,Sia,Music,United States,2007.0,Nov,19.0
311,LeoNata Family,People & Blogs,United States,2021.0,Sep,28.0
312,Goldmines Cineplex,Film & Animation,India,2015.0,Sep,12.0
313,Vlad and Niki Arabic,,United States,2018.0,Nov,9.0
314,SSundee,Gaming,United States,2009.0,Nov,28.0
315,Paulo Londra,Music,Argentina,2016.0,Aug,8.0
316,Smile Family,People & Blogs,France,2019.0,Nov,3.0
317,FGTeeV,Gaming,United States,2013.0,May,24.0
318,Kinder Spielzeug Kanal (Kidibli),Entertainment,United States,2015.0,Sep,25.0
319,Charlie Puth,Music,United States,2009.0,Sep,9.0
320,Vlad and Niki ESP,,United States,2018.0,Oct,11.0
321,Sagawa /ï¿½ï¿½ï¿½,Entertainment,Japan,2021.0,Feb,13.0
322,Ben Azelart,Film & Animation,United States,2014.0,Jun,5.0
323,Zach Choi ASMR,People & Blogs,United States,2014.0,Jul,5.0
324,Topper Guild,Comedy,United States,2014.0,Jul,9.0
325,Disney Latinoamï¿½ï¿½,Entertainment,Mexico,2008.0,Apr,7.0
326,Stokes Twins,People & Blogs,United States,2008.0,Apr,11.0
327,National Geographic,Science & Technology,United States,2006.0,May,7.0
328,Dua Lipa,Music,United Kingdom,2011.0,Feb,5.0
329,OneDirectionVEVO,Music,United Kingdom,2010.0,Dec,4.0
330,Rotana,Music,,2011.0,Oct,27.0
331,Netflix India,People & Blogs,,2017.0,Sep,24.0
332,Sourav Joshi Vlogs,People & Blogs,,2019.0,Feb,19.0
333,ZAMZAM ELECTRONICS TRADING,,United Arab Emirates,2020.0,Dec,19.0
334,DUDU e CAROL,Autos & Vehicles,Brazil,2013.0,Mar,2.0
335,Village Cooking Channel,Howto & Style,India,2018.0,Apr,25.0
336,Eva Bravo Play,Entertainment,United States,2019.0,May,7.0
337,Tekashi 6ix9ine,People & Blogs,United States,2018.0,Apr,6.0
338,Tlnovelas,News & Politics,Mexico,2014.0,Jan,2.0
339,SMOL,People & Blogs,,2006.0,Apr,2.0
340,invictor,Gaming,Chile,2016.0,Jul,26.0
341,YOLO,Comedy,Germany,2013.0,Jun,11.0
342,Sidhu Moose Wala,Music,India,2017.0,Oct,30.0
343,The Royalty Family,People & Blogs,United States,2017.0,Apr,13.0
344,Becky G,Music,United States,2011.0,Sep,6.0
345,Ishaan Ali 11,People & Blogs,India,2016.0,Jul,27.0
346,Infinite,Entertainment,United States,2014.0,Aug,21.0
347,Azhan5star,Entertainment,India,2021.0,Feb,2.0
348,Dangal TV Channel,Entertainment,India,2017.0,Aug,2.0
349,Khan GS Research Centre,Education,,2017.0,Jan,5.0
350,GMA Public  Affairs,Entertainment,Philippines,2009.0,Aug,8.0
351,Tasty,Howto & Style,United States,2016.0,Jan,22.0
352,Baim Paula,People & Blogs,Indonesia,2016.0,Jun,4.0
353,nigahiga,Entertainment,United States,2006.0,Jul,21.0
354,Rafa & Luiz,Entertainment,Brazil,2015.0,Aug,26.0
355,Lyrical Lemonade,Entertainment,United States,2013.0,Mar,25.0
356,Vlad and Niki IDN,,United States,2018.0,Nov,9.0
357,Dr. Vivek Bindra: Motivational Speaker,Education,India,2013.0,Dec,6.0
358,Fatos Desconhecidos,Entertainment,Brazil,2013.0,Sep,26.0
359,Brave Wilderness,Pets & Animals,United States,2014.0,Sep,8.0
360,LIV Crime,People & Blogs,United States,2020.0,Aug,18.0
361,Minecraft - Topic,,,2013.0,Dec,20.0
362,Romeo Santos,Music,United States,2006.0,Jul,31.0
363,Canal Canalha,Comedy,Brazil,2011.0,Apr,8.0
364,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Education,Germany,2013.0,Jul,9.0
365,Yoeslan,Entertainment,United States,2020.0,Sep,26.0
366,5-Minute Crafts DIY,Howto & Style,United States,2018.0,Jan,18.0
367,Zach King,Entertainment,,2013.0,Jun,5.0
368,tuzelity SHUFFLE,People & Blogs,Russia,2015.0,Oct,26.0
369,NBA,Sports,United States,2005.0,Nov,21.0
370,Deddy Corbuzier,Entertainment,Indonesia,2007.0,Jul,23.0
371,Bizarrap,Comedy,Argentina,2017.0,Jan,15.0
372,Avicii,Music,Sweden,2009.0,Oct,28.0
373,Mnet K-POP,Entertainment,South Korea,2006.0,Mar,9.0
374,LazarBeam,Gaming,Australia,2015.0,Jan,4.0
375,Ninja Kidz TV,Entertainment,United States,2017.0,Feb,9.0
376,Totoy kids - Portuguï¿½,Film & Animation,Brazil,2014.0,Dec,2.0
377,Jake Paul,People & Blogs,United States,2013.0,Sep,19.0
378,Linkin Park,Music,Afghanistan,2006.0,Nov,28.0
379,Vijay Television,Entertainment,India,2007.0,Feb,1.0
380,SlivkiShow,Entertainment,Ukraine,2012.0,Dec,11.0
381,Emiway Bantai,Music,India,2013.0,May,3.0
382,Got Talent Global,Entertainment,United Kingdom,2013.0,Jan,31.0
383,ýýýýýýýýýýýýýýý - Genevieve's Playhouse,Education,,2018.0,Jul,22.0
384,BabyBus - Cerita & Lagu Anak-anak,Education,Indonesia,2019.0,Jan,14.0
385,Ami Rodriguez,Entertainment,Colombia,2009.0,Jul,20.0
386,Noor Stars,Comedy,United Arab Emirates,2014.0,Apr,24.0
387,Family GamesTV,Entertainment,,2012.0,Dec,29.0
388,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,Education,India,2017.0,May,25.0
389,dednahype,Comedy,Latvia,2020.0,Mar,20.0
