rank,Youtuber,category,Country,created_year,created_month,created_date,channel_id
156,Diana and Roma ESP,,United States,2016.0,Nov,27.0,UCqNmJfc7RgMU6hTxOOuCYHQ
157,Round2hell,Comedy,India,2016.0,Oct,20.0,UCt4atlExw8aj3Bm79nv1fig
158,Zee News,News & Politics,India,2007.0,Jun,19.0,UCIvaYmXn910QMdemBG3v1pQ
159,AboFlah,Gaming,Kuwait,2016.0,Jul,28.0,UCqq5n-Oe-r1EEHI3yvhVJcA
160,AH,Entertainment,Indonesia,2014.0,Jan,26.0,UCaKLg1ELiX0zTJ6Je3c5esA
161,Trap Nation,Music,United States,2012.0,Sep,23.0,UCa10nxShhzNrCE1o2ZOPztg
164,Adele,Music,United Kingdom,2008.0,Apr,4.0,UCsRM0YB_dabtEPGPTKo-gcw
165,Talking Tom,Comedy,United States,2008.0,Jun,27.0,UCm3hAp1m1xlAz0ve_EKAo4g
167,Frost Diamond,Gaming,,2006.0,Aug,10.0,UC4hGmH5sABOA70D4fGb8qNQ
168,Spinnin' Records,Music,Netherlands,2007.0,Jul,12.0,UCpDJl2EmP7Oh90Vylx0dZtA
169,Little Angel: Nursery Rhymes & Kids Songs,Education,United States,2015.0,Dec,14.0,UCNzsYU0aWwjERj-9Y9HUEng
170,jacksepticeye,Gaming,,2007.0,Feb,24.0,UCYzPXprvl5Y-Sf0g4vX-m6g
171,Shawn Mendes,Music,Canada,2011.0,Jan,19.0,UCAvCL8hyXjSUHKEGuUPr1BA
172,ashish chanchlani vines,Comedy,India,2009.0,Jul,6.0,UC7eHZXheF8nVOfwB2PEslMw
173,Ultra Records,Music,United States,2006.0,Oct,24.0,UC4rasfm9J-X4jNl9SvXp8xA
174,Popular on YouTube,,,2017.0,Aug,7.0,UCnSeUkdfA9PHzwJIZebXvrA
175,Maluma,Music,Argentina,2015.0,Oct,31.0,UClZuKq2m0Qu-HkopkSBLpEw
176,Zhong,Entertainment,United States,2015.0,Jan,19.0,UCyagEfIN1okQ-s996XAqCFQ
177,Enaldinho,Comedy,Brazil,2012.0,Nov,7.0,UC2bYhAHyaqfWlPXWBVk4BcA
178,AuronPlay,Comedy,Spain,2006.0,Feb,28.0,UCFR2oaNj02WnXkOgLH0iqOA
179,Shorts Break,Comedy,,2021.0,Jan,28.0,UCgJ5_1F6yJhYLnyMszUdmUg
180,infobells - Tamil,Education,India,2014.0,Mar,13.0,UCHcn4Ux-sO9nzNu7rDsoQLg
181,Aditya Music India,Music,,2010.0,Dec,16.0,UCNApqoVYJbYSrni4YsbXzyQ
182,The Late Late Show with James Corden,Entertainment,United States,2006.0,Nov,21.0,UCJ0uqCI0Vqr2Rrt1HseGirg
183,Aditya Movies,Movies,India,2012.0,Feb,23.0,UCX_uPA_dGf7wXjuMEaSKLJA
184,Masha y el Oso,Film & Animation,,2019.0,Jul,21.0,UCuSo4gcgxJRf4Bzu43wwVyg
185,infobells - Telugu,Education,India,2014.0,Mar,13.0,UCHvoq_rGmOKJKGId1nD1V4Q
186,HUM TV,Entertainment,Pakistan,2011.0,May,25.0,UCEeEQxm6qc_qaTE7qTV5aLQ
187,Shemaroo Movies,Entertainment,India,2011.0,Mar,1.0,UCBOmfqgTZi7yDp4-3Lr_3lA
188,Michael Jackson,Music,United States,2005.0,Jun,22.0,UC5OrDvL9DscpcAstz7JnQGA
189,Drake,Music,,2005.0,Sep,23.0,UCByOQJjav0CUDwxCk-jVNRQ
